source_file	organism_name
fungi.txt	Rhodofomes roseus
fungi.txt	Saccharomycodes ludwigii
fungi.txt	Fusarium poae
fungi.txt	Penicillium coprophilum
fungi.txt	Penicillium digitatum
fungi.txt	Penicillium crustosum
fungi.txt	Clavispora lusitaniae
fungi.txt	Lodderomyces elongisporus
fungi.txt	Talaromyces marneffei
fungi.txt	Tuber melanosporum
fungi.txt	Vairimorpha ceranae
fungi.txt	Penicillium hordei
fungi.txt	Aspergillus thermomutatus
fungi.txt	Aspergillus candidus
fungi.txt	Aspergillus multicolor
fungi.txt	Zygotorulaspora mrakii
fungi.txt	Fusarium subglutinans
fungi.txt	Tricharina praecox
fungi.txt	Saccharomycopsis crataegensis
fungi.txt	Dipodascopsis tothii
fungi.txt	Lasiodiplodia theobromae
fungi.txt	Pyrenophora tritici-repentis
fungi.txt	Eremothecium sinecaudum
fungi.txt	Alternaria infectoria
fungi.txt	Candidozyma haemuli
fungi.txt	Scheffersomyces spartinae
fungi.txt	Wickerhamiella sorbophila
fungi.txt	Lipomyces oligophaga
fungi.txt	Alternaria dauci
fungi.txt	Torulaspora globosa
fungi.txt	Suillus bovinus
fungi.txt	Suillus paluster
fungi.txt	Suillus subalutaceus
fungi.txt	Suillus subaureus
fungi.txt	Fusarium redolens
fungi.txt	Cadophora gregata
fungi.txt	Lipomyces tetrasporus
fungi.txt	Myxozyma melibiosi
fungi.txt	Lipomyces arxii
fungi.txt	Fusarium venenatum
fungi.txt	Lipomyces japonicus
fungi.txt	Debaryomyces fabryi
fungi.txt	Trichoderma citrinoviride
fungi.txt	Tilletiopsis washingtonensis
fungi.txt	Penicillium verrucosum
fungi.txt	Penicillium solitum
fungi.txt	Maudiozyma barnettii
fungi.txt	Linderina pennispora
fungi.txt	Kickxella alabastrina
fungi.txt	Aspergillus caelatus
fungi.txt	Hypoxylon fragiforme
fungi.txt	Trichoderma atroviride
fungi.txt	Penicillium chermesinum
fungi.txt	Penicillium daleae
fungi.txt	Lobosporangium transversale
fungi.txt	Radiomyces spectabilis
fungi.txt	Mycotypha africana
fungi.txt	Zychaea mexicana
fungi.txt	Trichoderma ghanense
fungi.txt	Penicillium oxalicum
fungi.txt	Penicillium soppii
fungi.txt	Penicillium waksmanii
fungi.txt	Penicillium cinerascens
fungi.txt	Remersonia thermophila
fungi.txt	Arthroderma uncinatum
fungi.txt	Aspergillus viridinutans
fungi.txt	Malassezia restricta
fungi.txt	Malassezia pachydermatis
fungi.txt	Diaporthe citri
fungi.txt	Cercospora kikuchii
fungi.txt	Moesziomyces antarcticus
fungi.txt	Mycothermus thermophilus
fungi.txt	Rhodotorula paludigena
fungi.txt	Botrytis porri
fungi.txt	Rasamsonia byssochlamydoides
fungi.txt	Cokeromyces recurvatus
fungi.txt	Aspergillus udagawae
fungi.txt	Exophiala spinifera
fungi.txt	Metarhizium acridum
fungi.txt	Penicillium lagena
fungi.txt	Neurospora tetraspora
fungi.txt	Arthrobotrys flagrans
fungi.txt	Drechmeria coniospora
fungi.txt	Gilbertella persicaria
fungi.txt	Gamsiella multidivaricata
fungi.txt	Halteromyces radiatus
fungi.txt	Trichoderma asperellum
fungi.txt	Daldinia loculata
fungi.txt	Apiotrichum porosum
fungi.txt	Aspergillus bombycis
fungi.txt	Polychytrium aggregatum
fungi.txt	Hirsutella rhossiliensis
fungi.txt	Letharia columbiana
fungi.txt	Ramularia collo-cygni
fungi.txt	Daldinia vernicosa
fungi.txt	Suillus plorans
fungi.txt	Penicillium angulare
fungi.txt	Alternaria atra
fungi.txt	Ustilago hordei
fungi.txt	Phyllosticta capitalensis
fungi.txt	Talaromyces rugulosus
fungi.txt	Cercospora beticola
fungi.txt	Penicillium bovifimosum
fungi.txt	Aspergillus pseudotamarii
fungi.txt	Aspergillus melleus
fungi.txt	Fomitopsis serialis
fungi.txt	Botrytis byssoidea
fungi.txt	Sparassis crispa
fungi.txt	Vanrija pseudolonga
fungi.txt	Colletotrichum lupini
fungi.txt	Pyricularia grisea
fungi.txt	Mollisia scopiformis
fungi.txt	Truncatella angustata
fungi.txt	Alternaria arborescens
fungi.txt	Puccinia striiformis f. sp. tritici
fungi.txt	Penicillium taxi
fungi.txt	Fusarium solani
fungi.txt	Trichoderma aggressivum f. europaeum
fungi.txt	Aspergillus ambiguus
fungi.txt	Aspergillus lucknowensis
fungi.txt	Penicillium paradoxum
fungi.txt	Aspergillus pseudodeflectus
fungi.txt	Alternaria ethzedia
fungi.txt	Alternaria conjuncta
fungi.txt	Marasmius oreades
fungi.txt	Vanrija albida
fungi.txt	Psilocybe cubensis
fungi.txt	Aspergillus chevalieri
fungi.txt	Sporobolomyces salmoneus
fungi.txt	Penicillium canariense
fungi.txt	Fusarium mangiferae
fungi.txt	Fusarium falciforme
fungi.txt	Penicillium manginii
fungi.txt	Puccinia triticina
fungi.txt	Aspergillus alliaceus
fungi.txt	Aspergillus foveolatus
fungi.txt	Exophiala mesophila
fungi.txt	Cryptococcus deneoformans JEC21
fungi.txt	Exophiala oligosperma
fungi.txt	Acaromyces ingoldii
fungi.txt	Malassezia japonica
fungi.txt	Saccharomyces mikatae IFO 1815
fungi.txt	Saccharomyces kudriavzevii IFO 1802
fungi.txt	Aspergillus nidulans FGSC A4
fungi.txt	Fusarium graminearum PH-1
fungi.txt	Fusarium coffeatum
fungi.txt	Alternaria arbusti
fungi.txt	Cryptococcus neoformans H99
fungi.txt	Diplodia corticola
fungi.txt	Candida albicans SC5314
fungi.txt	Coprinopsis cinerea okayama7
fungi.txt	Pyricularia oryzae 70-15
fungi.txt	Neohortaea acidophila
fungi.txt	Rhizopus delemar RA 99-880
fungi.txt	Coccidioides immitis RS
fungi.txt	Verruconis gallopava
fungi.txt	Fonsecaea monophora
fungi.txt	Paecilomyces variotii
fungi.txt	Penicillium mononematosum
fungi.txt	Nakaseomyces bracarensis
fungi.txt	Candida metapsilosis
fungi.txt	Arxiozyma heterogenica
fungi.txt	Cutaneotrichosporon cavernicola
fungi.txt	Sporisorium graminicola
fungi.txt	Alternaria metachromatica
fungi.txt	Cryptococcus deneoformans B-3501A
fungi.txt	Debaryomyces hansenii CBS767
fungi.txt	Eremothecium gossypii ATCC 10895
fungi.txt	Encephalitozoon cuniculi GB-M1
fungi.txt	Australozyma saopauloensis
fungi.txt	Penicillium concentricum
fungi.txt	Aspergillus lentulus
fungi.txt	Meyerozyma guilliermondii ATCC 6260
fungi.txt	Candida tropicalis MYA-3404
fungi.txt	Cryptococcus deuterogattii R265
fungi.txt	Alternaria triticimaculans
fungi.txt	Macroventuria anomochaeta
fungi.txt	Penicillium macrosclerotiorum
fungi.txt	Chaetomium globosum CBS 148.51
fungi.txt	Westerdykella ornata
fungi.txt	Parastagonospora nodorum SN15
fungi.txt	Scheffersomyces stipitis CBS 6054
fungi.txt	Daldinia caldariorum
fungi.txt	Daldinia childiae
fungi.txt	Daldinia decipiens
fungi.txt	Hypoxylon trugodes
fungi.txt	Xylaria bambusicola
fungi.txt	Annulohypoxylon truncatum
fungi.txt	Aspergillus fumigatus Af293
fungi.txt	Aspergillus fischeri NRRL 181
fungi.txt	Botrytis cinerea B05.10
fungi.txt	Fusarium verticillioides 7600
fungi.txt	Apiospora aurea
fungi.txt	Apiospora marii
fungi.txt	Zymoseptoria tritici IPO323
fungi.txt	Uncinocarpus reesii 1704
fungi.txt	Aspergillus terreus NIH2624
fungi.txt	Pseudogymnoascus verrucosus
fungi.txt	Aspergillus clavatus NRRL 1
fungi.txt	Exophiala xenobiotica
fungi.txt	Colletotrichum phormii
fungi.txt	Neurospora crassa OR74A
fungi.txt	Cryptococcus gattii WM276
fungi.txt	Epithele typhae
fungi.txt	Lipomyces doorenjongii
fungi.txt	Pseudocercospora fijiensis CIRAD86
fungi.txt	Trematosphaeria pertusa
fungi.txt	Trichoderma gamsii
fungi.txt	Schizosaccharomyces japonicus yFS275
fungi.txt	Trichoderma virens Gv29-8
fungi.txt	Penicillium antarcticum
fungi.txt	Puccinia graminis f. sp. tritici CRL 75-36-700-3
fungi.txt	Candidozyma pseudohaemuli
fungi.txt	Durotheca rogersii
fungi.txt	Diplodia seriata
fungi.txt	Malassezia globosa CBS 7966
fungi.txt	Fusarium oxysporum f. sp. lycopersici 4287
fungi.txt	Alternaria novae-zelandiae
fungi.txt	Trichoderma reesei QM6a
fungi.txt	Vanderwaltozyma polyspora DSM 70294
fungi.txt	Talaromyces stipitatus ATCC 10500
fungi.txt	Coccidioides posadasii str. Silveira
fungi.txt	Histoplasma capsulatum G186AR
fungi.txt	Rhizoctonia solani
fungi.txt	Ogataea polymorpha
fungi.txt	Pseudovirgaria hyperparasitica
fungi.txt	Colletotrichum gloeosporioides
fungi.txt	Schizosaccharomyces octosporus yFS286
fungi.txt	Laccaria bicolor S238N-H82
fungi.txt	Candida oxycetoniae
fungi.txt	Candida jiufengensis
fungi.txt	Candida pseudojiufengensis
fungi.txt	Candidozyma auris
fungi.txt	Verticillium dahliae VdLs.17
fungi.txt	Metarhizium brunneum
fungi.txt	Sporobolomyces koalae
fungi.txt	Paracoccidioides lutzii Pb01
fungi.txt	Paracoccidioides brasiliensis Pb18
fungi.txt	Aspergillus oryzae RIB40
fungi.txt	Neurospora tetrasperma FGSC 2508
fungi.txt	Podospora anserina S mat+
fungi.txt	Verticillium alfalfae VaMs.102
fungi.txt	Nannizzia gypsea CBS 118893
fungi.txt	Microsporum canis CBS 113480
fungi.txt	Saccharomyces cerevisiae S288C
fungi.txt	Lachancea thermotolerans CBS 6340
fungi.txt	Blastomyces dermatitidis ER-3
fungi.txt	Blastomyces gilchristii SLH14081
fungi.txt	Trichophyton rubrum CBS 118892
fungi.txt	Letharia lupina
fungi.txt	[Candida] subhashii
fungi.txt	Scedosporium apiospermum
fungi.txt	Kwoniella shivajii
fungi.txt	Alternaria viburni
fungi.txt	Cladophialophora immunda
fungi.txt	Thermothelomyces thermophilus ATCC 42464
fungi.txt	Candida dubliniensis CD36
fungi.txt	Recurvomyces mirabilis
fungi.txt	Mytilinidion resinicola
fungi.txt	Thermothielavioides terrestris NRRL 8126
fungi.txt	Tremella mesenterica DSM 1558
fungi.txt	Serpula lacrymans var. lacrymans S7.9
fungi.txt	Schizophyllum commune H4-8
fungi.txt	Rhodotorula graminis WP1
fungi.txt	Rhizophagus irregularis
fungi.txt	Neurospora hispaniola
fungi.txt	Sodiomyces alcalophilus JCM 7366
fungi.txt	Phyllosticta citriasiana
fungi.txt	Agaricus bisporus var. burnettii JB137-S8
fungi.txt	Fibroporia radiculosa
fungi.txt	Spathaspora passalidarum NRRL Y-27907
fungi.txt	Komagataella phaffii GS115
fungi.txt	Gaeumannomyces tritici R3-111a-1
fungi.txt	Colletotrichum graminicola M1.001
fungi.txt	Spizellomyces punctatus DAOM BR117
fungi.txt	Phanerochaete carnosa HHB-10118-sp
fungi.txt	Schizosaccharomyces cryophilus OY26
fungi.txt	Beauveria bassiana ARSEF 2860
fungi.txt	Metarhizium robertsii ARSEF 23
fungi.txt	Grosmannia clavigera kw1407
fungi.txt	Pseudogymnoascus destructans
fungi.txt	Fusarium oxysporum Fo47
fungi.txt	Fusarium vanettenii 77-13-4
fungi.txt	Cryphonectria parasitica EP155
fungi.txt	Trichophyton verrucosum HKI 0517
fungi.txt	Trichophyton benhamiae CBS 112371
fungi.txt	Sclerotinia sclerotiorum 1980 UF-70
fungi.txt	Bipolaris sorokiniana ND90Pr
fungi.txt	Gloeophyllum trabeum ATCC 11539
fungi.txt	Postia placenta MAD-698-R-SB12
fungi.txt	Wallemia mellicola CBS 633.66
fungi.txt	Exserohilum turcica Et28A
fungi.txt	Lindgomyces ingoldianus
fungi.txt	Colletotrichum navitas
fungi.txt	Wickerhamomyces anomalus NRRL Y-366-8
fungi.txt	Batrachochytrium dendrobatidis JAM81
